#1.0000E-01 = radius(micron) Astronomical silicate, smoothed UV      
#w(micron)  Q_abs     Q_sca     g=<cos>
1.000E+03 1.380E-05 2.525E-13 0.00E+00
9.441E+02 1.548E-05 3.179E-13 0.00E+00
8.913E+02 1.737E-05 4.002E-13 0.00E+00
8.414E+02 1.950E-05 5.038E-13 0.00E+00
7.943E+02 2.188E-05 6.342E-13 0.00E+00
7.499E+02 2.455E-05 7.984E-13 0.00E+00
7.079E+02 2.755E-05 1.005E-12 0.00E+00
6.683E+02 3.091E-05 1.266E-12 0.00E+00
6.310E+02 3.469E-05 1.593E-12 0.00E+00
5.957E+02 3.893E-05 2.006E-12 5.61E-07
5.623E+02 4.368E-05 2.525E-12 6.29E-07
5.309E+02 4.902E-05 3.179E-12 7.07E-07
5.012E+02 5.501E-05 4.003E-12 7.93E-07
4.732E+02 6.174E-05 5.040E-12 8.89E-07
4.467E+02 6.930E-05 6.345E-12 9.97E-07
4.217E+02 7.778E-05 7.989E-12 1.12E-06
3.981E+02 8.731E-05 1.006E-11 1.25E-06
3.758E+02 9.800E-05 1.266E-11 1.41E-06
3.548E+02 1.100E-04 1.594E-11 1.58E-06
3.350E+02 1.235E-04 2.007E-11 1.77E-06
3.162E+02 1.386E-04 2.527E-11 1.98E-06
2.985E+02 1.556E-04 3.182E-11 2.23E-06
2.818E+02 1.747E-04 4.006E-11 2.50E-06
2.661E+02 1.963E-04 5.044E-11 2.80E-06
2.512E+02 2.204E-04 6.351E-11 3.14E-06
2.371E+02 2.476E-04 7.997E-11 3.52E-06
2.239E+02 2.781E-04 1.007E-10 3.94E-06
2.113E+02 3.124E-04 1.268E-10 4.42E-06
1.995E+02 3.509E-04 1.597E-10 4.95E-06
1.884E+02 3.944E-04 2.011E-10 5.54E-06
1.778E+02 4.433E-04 2.532E-10 6.21E-06
1.679E+02 4.984E-04 3.188E-10 6.95E-06
1.585E+02 5.604E-04 4.015E-10 7.78E-06
1.496E+02 6.304E-04 5.057E-10 8.70E-06
1.413E+02 7.092E-04 6.369E-10 9.74E-06
1.334E+02 7.981E-04 8.021E-10 1.09E-05
1.259E+02 8.985E-04 1.010E-09 1.22E-05
1.189E+02 1.012E-03 1.272E-09 1.36E-05
1.122E+02 1.140E-03 1.603E-09 1.52E-05
1.059E+02 1.285E-03 2.019E-09 1.69E-05
1.000E+02 1.449E-03 2.543E-09 1.88E-05
9.441E+01 1.635E-03 3.203E-09 2.10E-05
8.913E+01 1.846E-03 4.035E-09 2.33E-05
8.414E+01 2.083E-03 5.083E-09 2.59E-05
7.943E+01 2.354E-03 6.403E-09 2.87E-05
7.499E+01 2.661E-03 8.063E-09 3.18E-05
7.079E+01 3.009E-03 1.015E-08 3.51E-05
6.683E+01 3.403E-03 1.279E-08 3.88E-05
6.310E+01 3.851E-03 1.609E-08 4.26E-05
5.957E+01 4.356E-03 2.025E-08 4.68E-05
5.623E+01 4.929E-03 2.547E-08 5.12E-05
5.309E+01 5.571E-03 3.203E-08 5.60E-05
5.012E+01 6.296E-03 4.024E-08 6.10E-05
4.732E+01 7.112E-03 5.053E-08 6.63E-05
4.467E+01 8.026E-03 6.342E-08 7.20E-05
4.217E+01 9.051E-03 7.954E-08 7.80E-05
3.981E+01 1.019E-02 9.953E-08 8.43E-05
3.758E+01 1.145E-02 1.245E-07 9.11E-05
3.548E+01 1.280E-02 1.561E-07 9.88E-05
3.350E+01 1.433E-02 1.957E-07 1.07E-04
3.162E+01 1.614E-02 2.452E-07 1.15E-04
2.985E+01 1.822E-02 3.068E-07 1.23E-04
2.818E+01 2.056E-02 3.825E-07 1.32E-04
2.661E+01 2.325E-02 4.769E-07 1.41E-04
2.512E+01 2.636E-02 5.953E-07 1.51E-04
2.371E+01 2.983E-02 7.359E-07 1.61E-04
2.239E+01 3.388E-02 9.103E-07 1.72E-04
2.113E+01 3.856E-02 1.111E-06 1.83E-04
1.995E+01 4.417E-02 1.340E-06 1.94E-04
1.884E+01 4.921E-02 1.500E-06 2.09E-04
1.778E+01 4.951E-02 1.539E-06 2.35E-04
1.679E+01 4.511E-02 1.550E-06 2.73E-04
1.585E+01 3.859E-02 1.678E-06 3.23E-04
1.496E+01 3.272E-02 2.075E-06 3.86E-04
1.413E+01 2.944E-02 2.980E-06 4.69E-04
1.334E+01 3.514E-02 4.613E-06 5.49E-04
1.259E+01 4.636E-02 6.670E-06 5.94E-04
1.189E+01 6.163E-02 9.231E-06 6.06E-04
1.122E+01 8.018E-02 1.227E-05 6.02E-04
1.059E+01 1.060E-01 1.628E-05 5.84E-04
1.000E+01 1.290E-01 1.830E-05 5.99E-04
9.441E+00 1.447E-01 1.864E-05 6.38E-04
8.913E+00 1.080E-01 1.003E-05 7.52E-04
8.414E+00 6.979E-02 4.914E-06 8.93E-04
7.943E+00 3.240E-02 2.180E-06 1.06E-03
7.499E+00 1.437E-02 4.634E-06 1.26E-03
7.079E+00 1.130E-02 9.528E-06 1.48E-03
6.683E+00 1.118E-02 1.523E-05 1.71E-03
6.310E+00 1.111E-02 2.210E-05 1.95E-03
5.957E+00 1.086E-02 3.069E-05 2.22E-03
5.623E+00 1.069E-02 4.164E-05 2.52E-03
5.309E+00 1.069E-02 5.559E-05 2.86E-03
5.012E+00 1.084E-02 7.341E-05 3.23E-03
4.732E+00 1.112E-02 9.593E-05 3.65E-03
4.467E+00 1.149E-02 1.245E-04 4.12E-03
4.217E+00 1.194E-02 1.607E-04 4.64E-03
3.981E+00 1.239E-02 2.063E-04 5.22E-03
3.758E+00 1.286E-02 2.641E-04 5.88E-03
3.548E+00 1.335E-02 3.372E-04 6.61E-03
3.350E+00 1.386E-02 4.293E-04 7.43E-03
3.162E+00 1.434E-02 5.456E-04 8.35E-03
2.985E+00 1.487E-02 6.929E-04 9.38E-03
2.818E+00 1.547E-02 8.794E-04 1.05E-02
2.661E+00 1.612E-02 1.115E-03 1.18E-02
2.512E+00 1.683E-02 1.413E-03 1.33E-02
2.371E+00 1.762E-02 1.788E-03 1.49E-02
2.239E+00 1.846E-02 2.262E-03 1.67E-02
2.113E+00 1.938E-02 2.859E-03 1.88E-02
1.995E+00 2.038E-02 3.614E-03 2.10E-02
1.884E+00 2.147E-02 4.567E-03 2.36E-02
1.778E+00 2.267E-02 5.769E-03 2.65E-02
1.679E+00 2.402E-02 7.287E-03 2.97E-02
1.585E+00 2.551E-02 9.207E-03 3.33E-02
1.496E+00 2.711E-02 1.163E-02 3.73E-02
1.413E+00 2.887E-02 1.469E-02 4.18E-02
1.334E+00 3.078E-02 1.855E-02 4.69E-02
1.259E+00 3.289E-02 2.342E-02 5.25E-02
1.189E+00 3.530E-02 2.958E-02 5.89E-02
1.122E+00 3.798E-02 3.735E-02 6.60E-02
1.059E+00 4.093E-02 4.715E-02 7.40E-02
1.000E+00 4.420E-02 5.950E-02 8.30E-02
9.441E-01 4.785E-02 7.501E-02 9.32E-02
8.913E-01 5.189E-02 9.450E-02 1.05E-01
8.414E-01 5.635E-02 1.189E-01 1.18E-01
