#1.0000E+00 = radius(micron) Astronomical silicate, smoothed UV      
#w(micron)  Q_abs     Q_sca     g=<cos>
1.000E+03 1.380E-04 2.525E-09 1.99E-05
9.441E+02 1.549E-04 3.179E-09 2.24E-05
8.913E+02 1.738E-04 4.002E-09 2.51E-05
8.414E+02 1.950E-04 5.038E-09 2.82E-05
7.943E+02 2.188E-04 6.343E-09 3.16E-05
7.499E+02 2.456E-04 7.985E-09 3.54E-05
7.079E+02 2.756E-04 1.005E-08 3.98E-05
6.683E+02 3.092E-04 1.266E-08 4.46E-05
6.310E+02 3.470E-04 1.593E-08 5.00E-05
5.957E+02 3.894E-04 2.006E-08 5.61E-05
5.623E+02 4.370E-04 2.526E-08 6.30E-05
5.309E+02 4.904E-04 3.180E-08 7.06E-05
5.012E+02 5.504E-04 4.004E-08 7.93E-05
4.732E+02 6.178E-04 5.041E-08 8.89E-05
4.467E+02 6.934E-04 6.346E-08 9.97E-05
4.217E+02 7.784E-04 7.990E-08 1.12E-04
3.981E+02 8.738E-04 1.006E-07 1.25E-04
3.758E+02 9.809E-04 1.267E-07 1.41E-04
3.548E+02 1.101E-03 1.595E-07 1.58E-04
3.350E+02 1.236E-03 2.008E-07 1.77E-04
3.162E+02 1.388E-03 2.528E-07 1.99E-04
2.985E+02 1.558E-03 3.183E-07 2.23E-04
2.818E+02 1.750E-03 4.008E-07 2.50E-04
2.661E+02 1.966E-03 5.047E-07 2.80E-04
2.512E+02 2.209E-03 6.354E-07 3.14E-04
2.371E+02 2.481E-03 8.002E-07 3.52E-04
2.239E+02 2.787E-03 1.008E-06 3.94E-04
2.113E+02 3.132E-03 1.269E-06 4.42E-04
1.995E+02 3.520E-03 1.598E-06 4.95E-04
1.884E+02 3.957E-03 2.012E-06 5.54E-04
1.778E+02 4.450E-03 2.535E-06 6.21E-04
1.679E+02 5.005E-03 3.192E-06 6.95E-04
1.585E+02 5.632E-03 4.021E-06 7.78E-04
1.496E+02 6.339E-03 5.064E-06 8.71E-04
1.413E+02 7.136E-03 6.379E-06 9.74E-04
1.334E+02 8.036E-03 8.036E-06 1.09E-03
1.259E+02 9.054E-03 1.012E-05 1.22E-03
1.189E+02 1.021E-02 1.275E-05 1.36E-03
1.122E+02 1.151E-02 1.607E-05 1.52E-03
1.059E+02 1.299E-02 2.025E-05 1.69E-03
1.000E+02 1.467E-02 2.551E-05 1.89E-03
9.441E+01 1.657E-02 3.215E-05 2.10E-03
8.913E+01 1.873E-02 4.052E-05 2.33E-03
8.414E+01 2.118E-02 5.107E-05 2.59E-03
7.943E+01 2.397E-02 6.436E-05 2.88E-03
7.499E+01 2.715E-02 8.111E-05 3.18E-03
7.079E+01 3.078E-02 1.022E-04 3.52E-03
6.683E+01 3.488E-02 1.288E-04 3.88E-03
6.310E+01 3.958E-02 1.622E-04 4.26E-03
5.957E+01 4.490E-02 2.044E-04 4.68E-03
5.623E+01 5.095E-02 2.573E-04 5.12E-03
5.309E+01 5.777E-02 3.239E-04 5.59E-03
5.012E+01 6.551E-02 4.075E-04 6.09E-03
4.732E+01 7.425E-02 5.125E-04 6.61E-03
4.467E+01 8.411E-02 6.442E-04 7.17E-03
4.217E+01 9.522E-02 8.094E-04 7.76E-03
3.981E+01 1.076E-01 1.015E-03 8.37E-03
3.758E+01 1.215E-01 1.272E-03 9.04E-03
3.548E+01 1.364E-01 1.598E-03 9.78E-03
3.350E+01 1.535E-01 2.008E-03 1.06E-02
3.162E+01 1.738E-01 2.522E-03 1.13E-02
2.985E+01 1.972E-01 3.165E-03 1.21E-02
2.818E+01 2.237E-01 3.956E-03 1.30E-02
2.661E+01 2.542E-01 4.946E-03 1.39E-02
2.512E+01 2.896E-01 6.190E-03 1.48E-02
2.371E+01 3.290E-01 7.668E-03 1.57E-02
2.239E+01 3.751E-01 9.501E-03 1.68E-02
2.113E+01 4.275E-01 1.159E-02 1.78E-02
1.995E+01 4.892E-01 1.396E-02 1.89E-02
1.884E+01 5.409E-01 1.549E-02 2.05E-02
1.778E+01 5.409E-01 1.575E-02 2.32E-02
1.679E+01 4.940E-01 1.578E-02 2.71E-02
1.585E+01 4.285E-01 1.714E-02 3.20E-02
1.496E+01 3.730E-01 2.144E-02 3.82E-02
1.413E+01 3.506E-01 3.143E-02 4.64E-02
1.334E+01 4.384E-01 4.956E-02 5.43E-02
1.259E+01 5.924E-01 7.205E-02 5.83E-02
1.189E+01 7.848E-01 9.870E-02 5.90E-02
